Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Year
2023-12-13,3D,Jung Kook & Jack Harlow,21,4.0,1,6.0,https://charts-static.billboard.com/img/2023/10/jungkook-is6-3d-se5-180x180.jpg,2023
2009-05-13,3am,Eminem,13,13.0,1,,https://charts-static.billboard.com/img/2009/05/eminem-9fn-3am-c72-180x180.jpg,2009
2008-08-13,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,47,36.0,1,19.0,,2008
2021-09-01,4 Page Letter,Aaliyah,26,26.0,1,,,2021
2018-03-07,44 More,Logic,5,5.0,1,,,2018
2017-07-26,4:44,JAY-Z,31,31.0,1,,,2017
2025-01-08,4x4xU,Lainey Wilson,23,21.0,2,,https://charts-static.billboard.com/img/2024/07/lainey-wilson-cu2-4x4xu-85c-180x180.jpg,2025
2022-08-31,5 Foot 9,Tyler Hubbard,49,38.0,38,8.0,https://charts-static.billboard.com/img/2022/06/tylerhubbard-ne7-5foot9-5up-180x180.jpg,2022
2023-04-05,5 Leaf Clover,Luke Combs,40,15.0,15,2.0,,2023
2012-02-01,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,43,30.0,8,17.0,,2012
2012-08-08,5-1-5-0,Dierks Bentley,50,50.0,38,11.0,,2012
2012-11-28,50 Ways To Say Goodbye,Train,25,19.0,16,18.0,https://charts-static.billboard.com/img/2012/07/train-z35-106x106.jpg,2012
